Date,Daily Precipitation
2023-11-24,0.0
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,0.0
2023-11-28,0.0
2023-11-29,0.0
2023-11-30,8.4
2023-12-01,26.1
2023-12-02,27.0
2023-12-03,8.6
2023-12-04,95.8
2023-12-05,20.099999999999998
2023-12-06,6.5
2023-12-07,8.3
2023-12-08,0.0
2023-12-09,5.1
2023-12-10,6.4
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,3.5
2023-12-15,10.9
2023-12-16,0.0
2023-12-17,1.4000000000000001
2023-12-18,5.0
2023-12-19,21.2
2023-12-20,9.6
2023-12-21,18.4
2023-12-22,15.7
2023-12-23,0.0
2023-12-24,0.5
2023-12-25,24.7
2023-12-26,0.7
2023-12-27,5.2
2023-12-28,14.799999999999999
2023-12-29,0.7000000000000001
2023-12-30,20.1
2023-12-31,1.9
2024-01-01,0.0
2024-01-02,10.200000000000001
2024-01-03,6.800000000000001
2024-01-04,30.9
2024-01-05,44.4
2024-01-06,10.3
2024-01-07,1.3
2024-01-08,8.0
2024-01-09,19.0
2024-01-10,0.30000000000000004
2024-01-11,1.5000000000000002
2024-01-12,0.0
2024-01-13,0.1
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,5.2
2024-01-18,0.1
2024-01-19,22.6
2024-01-20,1.1
2024-01-21,34.3
2024-01-22,28.9
2024-01-23,28.9
2024-01-24,17.0
2024-01-25,41.6
2024-01-26,13.3
2024-01-27,79.7
2024-01-28,23.2
2024-01-29,17.900000000000002
2024-01-30,1.4000000000000001
2024-01-31,23.400000000000002
2024-02-01,9.3
2024-02-02,15.0
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,2.0
2024-02-11,46.2
2024-02-12,13.6
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,1.8
2024-02-20,6.7
2024-02-21,9.2
2024-02-22,4.4
