Course Name,City,Country,Personal Rating,Best Score,Par,Course Rating,Slope
Royal County Down GC,Newcastle,N. Ireland,11,74,71,75,142
Sunningdale Old,Sunningdale ,England,10,80,70,72.7,139
Ballybunion Old,Ballybunion,Ireland,10,72,71,74.5,131
Turnberry -- Ailsa,Turnberry,Scotland,10,82,71,77.2,139
Muirfield,Gullane,Scotland,10,86,71,70.4,132
Royal Portrush GC -- Dunluce,Portrush,N. Ireland,10,75,72,76,140
The Old Course,St Andrews,Scotland,10,76,72,73.1,132
Royal Dornoch GC,Dornoch,Scotland,10,77,70,73.2,136
Carne GC,Belmullet,Ireland,10,81,72,72.6,124
Royal Birkdale,Southport,England,10,81,70,74.9,147
